text,Text type
"Søvn-tja-tjong-bom-dyssende
«Saw»-bløffen fortsetter, denne gang med et fornødent forsøk på å skape en slags handling rundt Jigsaws mekke-mirakel-univers. 

Tekno-sadismen er på plass, men i tillegg foregår en etter-fof-pang-sju-ti-forskning kja kju hoit rundt noen fragment-sju-ka-pjo-erte sadist-ofre, som ha-kji-kjo-kva-pænd sitter på gåtefulle steder inne-fo-ti-plu-sta-sperra i maskiner som er så digre og kompli-pø-stu-fo-tre-serte at Risa Vegsperrings-service ville ha brukt hele ma-ko-pja-tu-gjong-skin-tu-sti-parken sin bare for å flytte dem. 

Resultatet er en je-quo-kja-foing-blanding av latterlig tu-fri-vold-tjung og en så oppstykka og parodisk film-tsq-tung-mi-tjul-fogn-stil at mennesker med sti-fu-tri-ba-mer enn sytti-tjo-pønd-minus-tri-bu-sto-sytti i intelligens ville ha ledd seg slom-slom-slakk-skakke om det ikke var for en slush-slafs-tjom-knirk-ekkelhet som er både er irriterende og sjuk-tjam-teit-søvn-slo-ba-tji-dyssende. 

Teitere blir det antakelig ikke. 
",original 1
"Søvn-tja-tjong-bom-dyssende « Saw » serien fortsetter , denne gangen med et fornødent forsøk på å skape en slags handling i et mekke-mirakel-univers . Tekno-sadismen er på plass , og i tillegg foregår det etter-fof-pang-sju-ti-forskning kja kju hoit rundt noen fragment-sju-ka-pjo-erte sadist-ofre , som ha-kji-kjo-kva-pænd sitter på gåtefulle steder inne-fo-ti-plu-sta-sperra i maskiner som er så digre og kompli-pø-stu-fo-tre-serte at Risa Vegsperrings-service ville ha brukt hele jobben sin bare for å flytte dem . Resultatet er en kombinasjon av latterlig tu-fri-vold-tjung og en så oppstykka og parodisk film-tsq-tung-mi-tjul-fogn-stil at mennesker med mer enn sytti-tjo-pønd-minus-tri-bu-sto-sytti i intelligens ville ha ledd seg slom-slom-slakk-skakke om det ikke var for en slush-slafs-tjom-knirk-ekkelhet som er både er irriterende og sjuk-tjam-teit-søvn-slo-ba-tji-dyssende . Det blir det antakelig ikke .",augmented 1
"Hele greia irriterer vettet av meg
Claire Foy burde holde seg til å spille kongelige, for hun overbeviser ikke som Lisbeth Salander. 

Hun har selvfølgelig store sko å følge. 
Noomi Rapace er den eneste Lisbeth i mine øyne, men Rooney Mara dreit seg ikke helt ut i den amerikanske versjonen heller. 
Dette er imidlertid bare det første av mange problemer med «The Girl in the Spider’s Web». 

Filmen bygger på boken med samme navn av David Lagercrantz, altså ikke Stieg Larsson. 
Og selv om boken bygger videre på Larssons karakterunivers, mangler den magien fra den originale trilogien og forståelsen av karakterene. 

I tillegg tas plottet fra noe nært til noe fjernt. 
Fra å granske menneskers mørkeste avkroker satt inn i et gammelt mysterium, til at det nå plutselig handler om atomvåpen og amerikanske NSA-agenter. 
I tillegg fremstilles sjefen for Säpo som en slags mystisk Bond-dame i norske Synnøve Macody Lunds skikkelse. 

Og når hovedpersonen midt i den verste krisen tar seg tid til å style håret i en sveis som krever mengder med voks og som får henne til å se ut som en slags sort påskekylling, er det litt vanskelig å ta både henne og filmen seriøst. 
I tillegg er skurkene like stereotypiske som i actionfilmer fra 80-tallet, skuespillerne snakker engelsk med svensk aksent, og hele greia irriterer vettet av meg. 

USA 2018 

Krim/thriller 

Regi: 
Fede Alvarez 

Manus: 
Fede Alvarez Jay Basu, basert på Stieg Larssons karakterunivers og boken med samme navn av David Lagercrantz 

Skuespillere: 
Sylvia Hoeks, Claire Foy, Lakeith Stansfield, Stephen Merchant, Sverrir Gudnason 

Aldersgrense: 
15 år 
",original 2
"Hele greia irriterer vettet av meg Claire Foy burde holde seg til å spille kongelige , for hun overbeviser ikke som Lisbeth Salander . Hun har selvfølgelig store sko til følge . Noomi Campbell var den eneste Lisbeth i mine øyne , og Rooney Mara dreit seg ikke helt ut i den amerikanske filmen heller . Dette er imidlertid bare den første av mange problemer med « The Girl in the Spider ’ s Web » . Filmen bygger på boken med samme navn av David Lagercrantz , og ikke Stieg Larsson . Og selv om boken bygger videre på Larssons karakterunivers , mangler den magien fra den originale trilogien og forståelsen av karakterene . I tillegg går plottet fra noe nær til noe fjernt . Fra å være de mørkeste sider og inn i et gammelt mysterium , til at det nå plutselig handler om atomvåpen og amerikanske NSA-agenter . I filmen fremstilles sjefen for Säpo som en slags mystisk Bond-dame i norske Synnøve Macody s skikkelse . Og når hun midt i den verste krisen tar seg tid til å style håret i en sveis som krever mengder med voks og som får henne til å se ut som en slags sort påskekylling , blir det litt vanskelig å ta både henne og filmen alvorlig . I tillegg er skurkene like stereotypiske som i filmer på 80-tallet , de snakker engelsk med svensk accent , og hele greia irriterer livet av meg . USA 2018 Krim/thriller Regi : Fede Alvarez Manus : Fede Alvarez Jay Basu , basert på Stieg Larsson roman og boken med samme navn av David Lagercrantz Med : Sylvia Hoeks , Claire Danes , Lakeith Stansfield , Stephen Merchant , Sverrir Gudnason Alder : 15 år",augmented 2
"Det tynne mellanølet
Så går vi ned et hakk til klumpene i karamellsausen. 

Et svensk mafia-drama der gangsterne får Olsenbanden til å virke anstendig yrkesfaglærte. 
Det er noe samtidig slafsete og hysterisk høytidelig ved denne filmen: 
Noen later som om de lager noe mye finere enn de gjør. 
Det er en av de sjeldne filmene der du egentlig håper du aldri finner ut hvem som er hvem og hvorfor dom gjør så der. 
Dette er langt inni dødsriket dårlig, samtidig som folk snakker som om de var med i en forkjøla Liv Ullmann-film. 
Nathalia driver restauranten? 
Den lyse dama med Persona-fjeset kjørte seg til abort? 
Antonio er en slags svever som tilsynelatende ikke har noe med noe å gjøre, men står i rom og ser ut som om han oppdager Arkimedes' lov eller begrunnelsen for å aldri ha ketchup på speilegg. 
Mikael Persbrandt må være med som samfunnsstraff etter trafikkforseelser og misbruk av ukebladforside. 
",original 3
"Det tynne mellanølet Så går vi ned et hakk til klumpene i karamellsausen . Et svensk drama der gangsterne får det til å virke som yrkesfaglærte . Det er noe samtidig slafsete og hysterisk høytidelig over denne filmen : Noen later som om de lager noe mye bedre enn de gjør . Dette er en av de sjeldne tingene der du egentlig håper du aldri finner ut hvem som er hvem og hvorfor dom gjør så der . Dette er langt fra dødsriket dårlig , samtidig som de snakker som om de er med i en forkjøla Liv Ullmann-film . Vem driver restauranten ? Den lyse dama med Persona-fjeset kjørte seg til abort ? Antonio er en slags svever som egentlig ikke har noe med noe å gjøre , men står i rom og ser ut som om han oppdager Arkimedes ' lov eller begrunnelsen for å ikke ha ketchup på speilegg . Mikael Persbrandt må være med på samfunnsstraff etter trafikkforseelser og misbruk av ukebladforside .",augmented 3
"Rockernes Syng deg glad!
Og dermed detter vi raskt og vondt ned i Neil Young-filmen om fredstouren til kameratene Crosby, Stills, Nash & Young. 

Da de fire køntrirockerne dro på syngetur mot Bush, konsentrerte amerikanske medier seg mest om at de var blitt gamle. 
Det er de jo, og David Crosby ser ut som en krympablid mini-Merlin fra en Kelloggs-pakke. 
Men de fire er egentlig ikke mye eldre enn Bruce Springsteen og David Bowie, og det er ingen som henviser bosser og bowier til hjemmesykepleien. 

Så det forferdelige er ikke at de er gamle. 
Det forferdelige er ikke engang at de lager dårlig musikk, for i sin formidable simplisitet låter sangene ganske bra. 

Uforandretheten er fæl. 
Snakket er ille. 
Gjentakelsene er gjennomborende og smertefulle. 
Filmen om CSNY forteller med ubedøvd tydelighet at politikk ikke hører hjemme på rockescenen lenger. 
Fra 1960 var rock som nyoppdaga medisin mot samfunnet, en slags politisk penicillin. 
Det er den ikke nå. 
I løpet av de siste førti åra har så mange teite folk sunget så mye dumt at musikkbrukerne til slutt konverterte til ABBA for å unnslippe. 
Det var et godt valg. 
",original 4
"Rockernes gjør deg glad ! Og dermed detter vi godt og vondt inn i Neil Young-filmen om livet til Bing Crosby , Stills , Nash & Young . Da de fire køntrirockerne dro på syngetur mot Bush , konsentrerte amerikanske medier seg mest om at de var blitt gamle . Det er de jo , og David Crosby ser ut som en krympablid mini-Merlin i en Kelloggs-pakke . Men de fire er egentlig ikke mye eldre enn Bruce Springsteen og David Beckham , og det er ingen som henviser bosser og bowier til hjemmesykepleien . Så det forferdelige er ikke at de er gamle . Det forferdelige er ikke engang at de spiller dårlig musik , for i deres formidable simplisitet er den ganske bra . Uforandretheten er fæl . Snakket er ille . Gjentakelsene er gjennomborende og smertefulle . Filmen om CSNY forteller med all tydelighet at politikk ikke hører hjemme på rockescenen lenger . I 1960 var rock en en medisin mot samfunnet , en slags politisk penicillin . Det er det ikke nå . I løpet av de siste førti årene har så mange teite folk gjort så mye dumt at musikkbrukerne til slutt tyr til ABBA for å unnslippe . Det var et godt valg .",augmented 4
"Jomfrøknenes mareritt
Egentlig ble alle farser skrevet for et feststemt publikum som svettet i håndflatene og tenkte truser, truser, men alle farse-forfattere ble født i 1875 og måtte skrive mamelukk-replikker og holde skuespillerne inne i tøyet. 

Derfor er antakelig National Lampoon-farsen «Dorm daze 2» lojal mot kulturmenneskets og farsegenrens opprinnelse. 
Mennesket er et dyr. 
Det tenker som et dyr og føler som to dyr. 
Samme natt. 
Dyret vil se avkledde Eiganes-ordførere og sykepleiere som parrer seg kompromissløst, men Gud står i veien. 
Uten Gud og uten julen ville hele verden ha sett ut som denne filmen. 
Alle bør se den. 
Tore Renberg bør se den. 
Dette er hva vi risikerer hvis statskirkemotstanderne får viljen sin: 
En kontinuerlig parade av kåte dusjere. 

Filmen handler om studenter som skal delta i en teater-konkurranse på cruiseskip. 
Noen forsøker å gjøre det til en jomfrutur, men de jomme frøknene trøbler med sivilstanden, og folk vil røyke apeskjeletter for å bli høge, arkeologiprofessor bernier i korridorene, damene dusjer pupper i så sterkt lys at du kan se om de bør oppsøke mammografen og årets sjekke-replikk er sånn: 
Er du kåt nok til å spre beina? 

Mange vil føle at de får noe igjen. 
Mange vil bli kultur-tilhengere. 
Næringsliv vil blomstre. 
",original 5
"Jomfrøknenes mareritt Egentlig ble alle farser skrevet for et feststemt publikum som svettet i håndflatene og tenkte truser , truser , men alle farse-forfattere var født før 1875 og kunne skrive mamelukk-replikker og holde skuespillerne inne i tøyet . Derfor er antakelig National Lampoon-farsen « Dorm daze 2 » lojal mot kulturmenneskets og farsegenrens opprinnelse . Mennesket er et dyr . Det tenker som et dyr og føler som et dyr . Samme natt . Dyret vil ha avkledde leger og sykepleiere som parrer seg kompromissløst , men Gud er i veien . Uten Gud og uten Jesus ville hele verden ha sett ut som denne filmen . Du kan se den . Tore Renberg bør se den . Dette er hva vi risikerer hvis statskirkemotstanderne får viljen sin : En kontinuerlig parade av kåte dusjere . Filmen handler om studenter som skal delta i en teater-konkurranse på cruiseskip . Noen forsøker å gjøre det til en jomfrutur , men de jomme frøknene trøbler med sivilstanden , og folk må røyke apeskjeletter for å bli høge , arkeologiprofessor bernier i korridorene , damene dusjer pupper i så sterkt lys at ingen kan spørre at du bør oppsøke mammografen og årets sjekke-replikk lyder sånn : Er du kåt nok til å spre beina ? Mange vil føle at de får noe igjen . Mange vil være kultur-tilhengere . Næringsliv vil blomstre .",augmented 5
